pwm,voltage,speed
176,2.202417,12.45922
163,2.204834,11.05883
42,2.19436,1.314481
240,2.2,18.39082
202,2.195972,14.2862
35,2.195972,0
247,2.196777,19.75
217,2.200806,15.609
64,2.2,3.020147
129,2.196777,8.367718
163,2.204028,11.10944
111,2.209668,6.810657
247,2.191943,19.0169
41,2.209668,0
205,2.21128,14.59672
98,2.198389,5.565207
110,2.208862,6.670813
15,2.206445,0
197,2.206445,13.71252
26,2.204834,0
68,2.208057,3.128048
16,2.191943,0
114,2.208862,6.909368
234,2.212085,16.55806
98,2.206445,5.722849
3,2.208057,0
204,2.206445,14.30663
110,2.19436,6.634972
178,2.208057,12.17445
200,2.208862,13.7454
28,2.203223,0
138,2.214502,8.813261
139,2.195972,9.018288
52,2.208057,2.033251
150,2.208862,9.92272
167,2.207251,11.23442
215,2.21128,15.04465
237,2.208862,17.17412
45,2.208862,0
236,2.200806,17.0865
130,2.195972,8.259698
9,2.196777,0
146,2.206445,9.754924
99,2.206445,5.796767
193,2.206445,13.18025
211,2.208057,14.79664
94,2.204834,5.237105
195,2.18872,13.53376
25,2.197583,0
7,2.2,0
238,2.206445,17.57495
130,2.199194,8.320822
177,2.207251,12.10036
231,2.206445,15.65692
228,2.208862,16.17393
148,2.19436,9.723163
182,2.207251,12.2221
253,2.216114,19.35933
31,2.206445,0
193,2.204028,13.45482
184,2.208862,12.72992
41,2.192749,0
161,2.206445,10.63807
167,2.20564,11.20653
103,2.208862,6.114356
127,2.208862,8.078608
4,2.207251,0
2,2.206445,0
251,2.21128,19.15512
162,2.2,10.97109
65,2.208862,2.743121
253,2.208057,19.29228
192,2.209668,13.20863
175,2.191943,11.77155
24,2.208057,0
98,2.206445,5.4946
140,2.215308,9.106647
15,2.206445,0
49,2.199194,0
113,2.206445,6.932268
18,2.198389,0
255,2.198389,19.32836
33,2.206445,0
52,2.195972,1.859307
219,2.206445,15.49766
210,2.208862,14.79664
82,2.198389,4.424093
54,2.208057,2.215738
18,2.200806,0
18,2.206445,0
253,2.20564,19.07371
99,2.208862,5.588571
151,2.207251,9.879844
56,2.207251,2.079597
44,2.208057,0
65,2.204834,3.246882
18,2.198389,0
21,2.195166,0
7,2.202417,0
21,2.195972,0
134,2.200806,8.77339
162,2.206445,11.12651
7,2.198389,0
198,2.2,13.97767
216,2.196777,15.4334
122,2.209668,7.679879
47,2.195972,0
179,2.195166,12.23609
181,2.208862,11.92156
154,2.21128,10.4494
189,2.208057,13.12102
175,2.204834,11.94858
70,2.208057,3.382334
143,2.208057,9.537608
65,2.209668,2.805028
15,2.207251,0
6,2.20564,0
180,2.207251,12.21801
72,2.208057,3.44177
61,2.192749,2.67637
160,2.208057,10.77903
180,2.220948,12.59781
95,2.204834,5.462633
125,2.206445,7.951548
80,2.208057,4.292204
59,2.208862,2.597019
218,2.206445,15.22458
57,2.209668,2.423657
126,2.208862,7.986396
31,2.21853,0
28,2.20564,0
205,2.20564,14.48687
231,2.201611,16.4452
235,2.215308,16.8725
